SID,CB,block,trial,memrich,mondrich,eye,loc,image,urban,resp,corr,RT,cond,phase,locrep,eyerep
1,1,1,1,1,3,2,1,7,2,2,1,1398.456112,1,1,99,99
1,1,1,2,1,3,1,1,2,1,1,1,1619.424783,1,1,0,0
1,1,1,3,1,3,2,4,3,1,1,1,1743.408037,3,1,0,0
1,1,1,4,1,3,2,1,5,1,1,1,2119.115243,1,1,0,1
1,1,1,5,1,3,2,1,1,1,1,1,1471.88503,1,1,1,1
1,1,1,6,1,3,1,1,1,1,1,1,1993.810151,1,1,0,0
1,1,1,7,1,3,2,3,6,2,2,1,1479.693274,2,1,1,0
1,1,1,8,1,3,1,4,4,1,1,1,2441.822888,3,1,0,0
1,1,1,9,1,3,2,4,10,2,2,1,1710.153347,3,1,0,0
1,1,1,10,1,3,1,1,2,1,1,1,3014.712393,1,1,0,0
1,1,1,11,1,3,2,2,5,1,1,1,1091.070965,3,1,0,0
1,1,1,12,1,3,2,1,3,1,1,1,2212.917732,1,1,0,1
1,1,1,13,1,3,1,2,9,2,2,1,2713.357436,3,1,0,0
1,1,1,14,1,3,1,1,8,2,2,1,4090.698106,1,1,0,1
1,1,1,15,1,3,1,2,6,2,2,1,3780.671525,3,1,0,1
1,1,1,16,1,3,2,1,5,1,1,1,1675.417479,1,1,0,0
1,1,1,17,1,3,1,3,7,2,2,1,6014.279902,2,1,1,0
1,1,1,18,1,3,2,3,4,1,1,1,1066.890254,2,1,0,0
1,1,1,19,1,3,1,2,3,1,1,1,3877.870464,3,1,0,0
1,1,1,20,1,3,1,4,10,2,2,1,7288.8265,3,1,0,1
1,1,1,21,1,3,2,2,9,2,2,1,1330.245943,3,1,1,0
1,1,1,22,1,3,2,2,7,2,2,1,1010.891146,3,1,1,1
1,1,1,23,1,3,2,1,10,2,2,1,1503.550499,1,1,0,1
1,1,1,24,1,3,2,1,8,2,2,1,952.3176108,1,1,1,1
1,1,1,25,1,3,2,1,2,1,1,1,1063.375823,1,1,1,1
1,1,1,26,1,3,2,3,6,2,2,1,1522.437121,2,1,0,1
1,1,1,27,1,3,1,3,1,1,1,1,5979.543714,2,1,0,0
1,1,1,28,1,3,1,1,5,1,1,1,1193.498911,1,1,0,1
1,1,1,29,1,3,2,1,9,2,2,1,1535.614476,1,1,0,0
1,1,1,30,1,3,1,1,10,2,2,1,7071.463952,1,1,0,0
1,1,1,31,1,3,2,3,3,1,1,1,1402.217407,2,1,1,0
1,1,1,32,1,3,2,1,6,2,2,1,1782.896498,1,1,0,1
1,1,1,33,1,3,1,1,8,2,2,1,9637.899754,1,1,0,0
1,1,1,34,1,3,2,4,9,2,2,1,1169.290307,3,1,0,0
1,1,1,35,1,3,1,1,7,2,2,1,4463.842746,1,1,0,0
1,1,1,36,1,3,1,3,2,1,1,1,9132.153457,2,1,0,1
1,1,1,37,1,3,1,4,8,2,2,1,8428.48363,3,1,0,1
1,1,1,38,1,3,1,4,1,1,1,1,2200.803491,3,1,1,1
1,1,1,39,1,3,2,1,7,2,2,1,1134.153047,1,1,0,0
1,1,1,40,1,3,1,1,4,1,1,1,1125.5651,1,1,0,0
1,1,1,41,1,3,1,1,10,2,2,1,4342.489386,1,1,1,1
1,1,1,42,1,3,2,2,1,1,1,1,1117.671896,3,1,0,0
1,1,1,43,1,3,1,2,2,1,1,1,4662.52546,3,1,0,0
1,1,1,44,1,3,1,1,6,2,2,1,1313.546783,1,1,0,1
1,1,1,45,1,3,2,1,4,1,1,1,1530.457283,1,1,0,0
1,1,1,46,1,3,1,3,9,2,2,1,8835.607198,2,1,1,0
1,1,1,47,1,3,1,1,3,1,1,1,7432.126301,1,1,0,1
1,1,1,48,1,3,2,4,5,1,1,1,2828.041008,3,1,0,0
1,1,2,1,1,3,2,1,8,2,2,1,2248.414386,1,1,0,1
1,1,2,2,1,3,1,1,1,1,1,1,1683.418084,1,1,0,0
1,1,2,3,1,3,2,4,3,1,1,1,1045.520895,3,1,0,0
1,1,2,4,1,3,2,1,2,1,1,1,1368.70848,1,1,0,1
1,1,2,5,1,3,2,1,4,1,1,1,1199.404708,1,1,1,1
1,1,2,6,1,3,1,1,4,1,1,1,1300.387062,1,1,0,0
1,1,2,7,1,3,2,3,7,2,2,1,892.915641,2,1,1,0
1,1,2,8,1,3,1,4,5,1,1,1,1886.616467,3,1,0,0
1,1,2,9,1,3,2,4,9,2,2,1,904.1988831,3,1,0,0
1,1,2,10,1,3,1,1,1,1,1,1,3417.365818,1,1,0,0
1,1,2,11,1,3,2,2,2,1,1,1,1173.725826,3,1,0,0
1,1,2,12,1,3,2,1,3,1,1,1,1540.299102,1,1,0,1
1,1,2,13,1,3,1,2,6,2,2,1,3116.408727,3,1,0,0
1,1,2,14,1,3,1,1,9,2,2,1,4508.995912,1,1,0,1
1,1,2,15,1,3,1,2,8,2,2,1,1822.076541,3,1,0,1
1,1,2,16,1,3,2,1,2,1,1,1,1634.07498,1,1,0,0
1,1,2,17,1,3,1,3,6,2,2,1,2406.195748,2,1,1,0
1,1,2,18,1,3,2,3,3,1,1,1,770.5081487,2,1,0,0
1,1,2,19,1,3,1,2,4,1,1,1,1433.439484,3,1,0,0
1,1,2,20,1,3,1,4,7,2,2,1,6477.239713,3,1,0,1
1,1,2,21,1,3,2,2,10,2,2,1,928.0076972,3,1,1,0
1,1,2,22,1,3,2,2,8,2,2,1,783.7999528,3,1,1,1
1,1,2,23,1,3,2,1,10,2,2,1,1221.873729,1,1,0,1
1,1,2,24,1,3,2,1,7,2,2,1,889.7548327,1,1,1,1
1,1,2,25,1,3,2,1,5,1,1,1,1059.272126,1,1,1,1
1,1,2,26,1,3,2,3,6,2,2,1,1286.439623,2,1,0,1
1,1,2,27,1,3,1,3,1,1,1,1,2264.171619,2,1,0,0
1,1,2,28,1,3,1,1,5,1,1,1,1035.015753,1,1,0,1
1,1,2,29,1,3,2,1,9,2,2,1,1630.806771,1,1,0,0
1,1,2,30,1,3,1,1,9,2,2,1,1675.024422,1,1,0,0
1,1,2,31,1,3,2,3,4,1,1,1,1453.493737,2,1,1,0
1,1,2,32,1,3,2,1,10,2,2,1,1424.324148,1,1,0,1
1,1,2,33,1,3,1,1,8,2,2,1,6501.597396,1,1,0,0
1,1,2,34,1,3,2,4,7,2,2,1,1030.312852,3,1,0,0
1,1,2,35,1,3,1,1,6,2,2,1,5114.967624,1,1,0,0
1,1,2,36,1,3,1,3,1,1,1,1,1483.376983,2,1,0,1
1,1,2,37,1,3,1,4,8,2,2,1,6253.565808,3,1,0,1
1,1,2,38,1,3,1,4,3,1,1,1,2208.637704,3,1,1,1
1,1,2,39,1,3,2,1,7,2,2,1,1077.753188,1,1,0,0
1,1,2,40,1,3,1,1,2,1,1,1,2472.498981,1,1,0,0
1,1,2,41,1,3,1,1,9,2,2,1,2963.079234,1,1,1,1
1,1,2,42,1,3,2,2,4,1,1,1,961.4848839,3,1,0,0
1,1,2,43,1,3,1,2,3,1,1,1,2209.117003,3,1,0,0
1,1,2,44,1,3,1,1,10,2,2,1,1478.069749,1,1,0,1
1,1,2,45,1,3,2,1,5,1,1,1,1304.003765,1,1,0,0
1,1,2,46,1,3,1,3,6,2,2,1,2273.461042,2,1,1,0
1,1,2,47,1,3,1,1,1,1,1,1,1195.422519,1,1,0,1
1,1,2,48,1,3,2,4,2,1,1,1,961.3200952,3,1,0,0
1,1,3,1,1,3,2,1,7,2,2,1,1774.927632,1,1,0,1
1,1,3,2,1,3,1,1,3,1,1,1,2141.588752,1,1,0,0
1,1,3,3,1,3,2,4,1,1,1,1,1260.960477,3,1,0,0
1,1,3,4,1,3,2,1,5,1,1,1,2152.114414,1,1,0,1
1,1,3,5,1,3,2,1,2,1,1,1,1751.337789,1,1,1,1
1,1,3,6,1,3,1,1,1,1,1,1,1558.020338,1,1,0,0
1,1,3,7,1,3,2,3,8,2,2,1,933.1408441,2,1,1,0
1,1,3,8,1,3,1,4,5,1,1,1,2141.137346,3,1,0,0
1,1,3,9,1,3,2,4,6,2,2,1,948.7252729,3,1,0,0
1,1,3,10,1,3,1,1,3,1,1,1,3715.535922,1,1,0,0
1,1,3,11,1,3,2,2,2,1,1,1,1244.298827,3,1,0,0
1,1,3,12,1,3,2,1,4,1,1,1,1359.805703,1,1,0,1
1,1,3,13,1,3,1,2,9,2,2,1,3382.677719,3,1,0,0
1,1,3,14,1,3,1,1,6,2,2,1,1468.487297,1,1,0,1
1,1,3,15,1,3,1,2,8,2,2,1,4030.830624,3,1,0,1
1,1,3,16,1,3,2,1,3,1,1,1,1315.12831,1,1,0,0
1,1,3,17,1,3,1,3,7,2,2,1,5931.801051,2,1,1,0
1,1,3,18,1,3,2,3,4,1,1,1,883.2475888,2,1,0,0
1,1,3,19,1,3,1,2,5,1,1,1,1372.877579,3,1,0,0
1,1,3,20,1,3,1,4,10,2,2,1,6067.706184,3,1,0,1
1,1,3,21,1,3,2,2,9,2,2,1,894.0361426,3,1,1,0
1,1,3,22,1,3,2,2,9,2,2,1,639.912168,3,1,1,1
1,1,3,23,1,3,2,1,10,2,2,1,1595.690029,1,1,0,1
1,1,3,24,1,3,2,1,8,2,2,1,793.2855831,1,1,1,1
1,1,3,25,1,3,2,1,1,1,1,1,1070.868275,1,1,1,1
1,1,3,26,1,3,2,3,7,2,2,1,1120.705426,2,1,0,1
1,1,3,27,1,3,1,3,2,1,1,1,1905.516875,2,1,0,0
1,1,3,28,1,3,1,1,2,1,1,1,1706.541773,1,1,0,1
1,1,3,29,1,3,2,1,6,2,2,1,1203.124965,1,1,0,0
1,1,3,30,1,3,1,1,8,2,2,1,1328.066816,1,1,0,0
1,1,3,31,1,3,2,3,4,1,1,1,904.2501794,2,1,1,0
1,1,3,32,1,3,2,1,10,2,2,1,1129.28664,1,1,0,1
1,1,3,33,1,3,1,1,7,2,2,1,2842.077573,1,1,0,0
1,1,3,34,1,3,2,4,9,2,2,1,853.8862807,3,1,0,0
1,1,3,35,1,3,1,1,6,2,2,1,1520.40483,1,1,0,0
1,1,3,36,1,3,1,3,3,1,1,1,1272.797718,2,1,0,1
1,1,3,37,1,3,1,4,10,2,2,1,2867.158533,3,1,0,1
1,1,3,38,1,3,1,4,5,1,1,1,1245.576103,3,1,1,1
1,1,3,39,1,3,2,1,6,2,2,1,905.3501626,1,1,0,0
1,1,3,40,1,3,1,1,1,1,1,1,2882.137026,1,1,0,0
1,1,3,41,1,3,1,1,7,2,2,1,2972.455219,1,1,1,1
1,1,3,42,1,3,2,2,3,1,1,1,1682.53066,3,1,0,0
1,1,3,43,1,3,1,2,4,1,1,1,1204.073945,3,1,0,0
1,1,3,44,1,3,1,1,9,2,2,1,2129.486375,1,1,0,1
1,1,3,45,1,3,2,1,1,1,1,1,1513.381097,1,1,0,0
1,1,3,46,1,3,1,3,8,2,2,1,2610.626843,2,1,1,0
1,1,3,47,1,3,1,1,2,1,1,1,1287.848345,1,1,0,1
1,1,3,48,1,3,2,4,5,1,1,1,1329.426165,3,1,0,0
1,1,4,1,1,3,2,1,6,2,2,1,2769.009333,1,1,0,1
1,1,4,2,1,3,1,1,5,1,1,1,1014.944509,1,1,0,0
1,1,4,3,1,3,2,4,4,1,1,1,1835.360656,3,1,0,0
1,1,4,4,1,3,2,1,2,1,1,1,1111.011084,1,1,0,1
1,1,4,5,1,3,2,1,1,1,1,1,935.9169309,1,1,1,1
1,1,4,6,1,3,1,1,1,1,1,1,751.9046119,1,1,0,0
1,1,4,7,1,3,2,3,7,2,2,1,1510.866941,2,1,1,0
1,1,4,8,1,3,1,4,2,1,1,1,1439.454927,3,1,0,0
1,1,4,9,1,3,2,4,8,2,2,1,1083.521125,3,1,0,0
1,1,4,10,1,3,1,1,4,1,1,1,1628.735686,1,1,0,0
1,1,4,11,1,3,2,2,3,1,1,1,1025.175537,3,1,0,0
1,1,4,12,1,3,2,1,5,1,1,1,1045.785391,1,1,0,1
1,1,4,13,1,3,1,2,10,2,2,1,1873.122038,3,1,0,0
1,1,4,14,1,3,1,1,10,2,2,1,1523.382895,1,1,0,1
1,1,4,15,1,3,1,2,7,2,2,1,3387.898071,3,1,0,1
1,1,4,16,1,3,2,1,2,1,1,1,1657.46028,1,1,0,0
1,1,4,17,1,3,1,3,6,2,2,1,2956.713054,2,1,1,0
1,1,4,18,1,3,2,3,3,1,1,1,1139.728303,2,1,0,0
1,1,4,19,1,3,1,2,4,1,1,1,1780.001789,3,1,0,0
1,1,4,20,1,3,1,4,8,2,2,1,1274.128213,3,1,0,1
1,1,4,21,1,3,2,2,9,2,2,1,747.9881467,3,1,1,0
1,1,4,22,1,3,2,2,10,2,2,1,779.2535052,3,1,1,1
1,1,4,23,1,3,2,1,7,2,2,1,801.6144843,1,1,0,1
1,1,4,24,1,3,2,1,8,2,2,1,1062.482307,1,1,1,1
1,1,4,25,1,3,2,1,1,1,1,1,1297.025878,1,1,1,1
1,1,4,26,1,3,2,3,9,2,2,1,867.0488871,2,1,0,1
1,1,4,27,1,3,1,3,5,1,1,1,1445.21549,2,1,0,0
1,1,4,28,1,3,1,1,4,1,1,1,5713.173732,1,1,0,1
1,1,4,29,1,3,2,1,6,2,2,1,1594.10722,1,1,0,0
1,1,4,30,1,3,1,1,10,2,2,1,3959.998256,1,1,0,0
1,1,4,31,1,3,2,3,3,1,1,1,823.1659443,2,1,1,0
1,1,4,32,1,3,2,1,8,2,2,1,1003.716411,1,1,0,1
1,1,4,33,1,3,1,1,7,2,2,1,1208.499204,1,1,0,0
1,1,4,34,1,3,2,4,6,2,2,1,2413.298349,3,1,0,0
1,1,4,35,1,3,1,1,9,2,2,1,3050.370631,1,1,0,0
