SID,CB,block,trial,eye,loc,locrep,eyerep,tarimg,urban,resp,corr,RT
1,1,1,1,2,2,99,99,9,2,2,1,2171.167757
1,1,1,2,2,2,1,1,8,2,2,1,1880.046154
1,1,1,3,1,2,1,0,4,1,1,1,1481.559138
1,1,1,4,1,1,0,1,7,2,2,1,1658.200532
1,1,1,5,2,3,0,0,10,2,2,1,1628.851671
1,1,1,6,2,3,1,1,2,1,1,1,1111.54029
1,1,1,7,1,4,0,0,9,2,1,0,927.9443999
1,1,1,8,1,4,1,1,1,1,1,1,1326.80684
1,1,1,9,1,1,0,1,5,1,1,1,757.71793
1,1,1,10,2,1,1,0,8,2,2,1,1291.030552
1,1,1,11,2,3,0,1,3,1,1,1,1324.211247
1,1,1,12,1,3,1,0,4,1,1,1,1044.0709
1,1,1,13,2,4,0,0,6,2,2,1,790.9249141
1,1,1,14,1,2,0,0,5,1,1,1,1155.736867
1,1,1,15,2,2,1,0,7,2,2,1,1394.150554
1,1,1,16,2,2,1,1,2,1,1,1,1199.402206
1,1,1,17,2,4,0,1,1,1,1,1,946.9298039
1,1,1,18,1,4,1,0,2,1,1,1,770.5073814
1,1,1,19,2,1,0,0,5,1,1,1,647.4661388
1,1,1,20,2,1,1,1,10,2,2,1,762.3086287
1,1,1,21,1,3,0,0,3,1,1,1,1401.208926
1,1,1,22,1,3,1,1,6,2,2,1,948.9043911
1,1,1,23,2,3,1,0,1,1,2,0,1451.626141
1,1,1,24,1,1,0,0,4,1,1,1,709.3278805
1,1,1,25,1,4,0,1,2,1,1,1,1085.424379
1,1,1,26,2,4,1,0,7,2,2,1,1359.01034
1,1,1,27,2,4,1,1,8,2,2,1,957.2711391
1,1,1,28,2,1,0,1,3,1,1,1,802.962554
1,1,1,29,1,2,0,0,9,2,2,1,1527.267353
1,1,1,30,1,2,1,1,1,1,1,1,1391.404919
1,1,1,31,1,1,0,1,10,2,1,0,1412.271615
1,1,1,32,2,1,1,0,9,2,2,1,768.4128891
1,1,1,33,1,1,1,0,5,1,1,1,709.8472556
1,1,1,34,1,3,0,1,10,2,2,1,1438.135854
1,1,1,35,1,3,1,1,8,2,2,1,1016.874882
1,1,1,36,2,3,1,0,4,1,1,1,1476.751392
1,1,1,37,1,2,0,0,2,1,2,0,1157.92786
1,1,1,38,1,2,1,1,7,2,2,1,1412.296302
1,1,1,39,1,4,0,1,6,2,2,1,1408.754292
1,1,1,40,2,4,1,0,7,2,2,1,1068.98231
1,1,1,41,1,4,1,0,1,1,1,1,1006.343109
1,1,1,42,2,2,0,0,4,1,1,1,1035.069681
1,1,1,43,2,2,1,1,9,2,2,1,886.0244177
1,1,1,44,2,3,0,1,8,2,2,1,1326.541702
1,1,1,45,1,1,0,0,5,1,1,1,1030.382161
1,1,1,46,1,3,0,1,10,2,2,1,2010.425012
1,1,1,47,2,1,0,0,6,2,2,1,710.4833298
1,1,1,48,2,4,0,1,3,1,1,1,782.5523952
1,1,2,1,2,2,99,99,7,2,2,1,1267.03927
