SID,CB,block,trial,eye,loc,locrep,eyerep,tarimg,urban,resp,corr,RT
1,2,1,1,1,1,99,99,64,2,2,1,2267.477466
1,2,1,2,1,2,0,1,77,2,2,1,1354.48849
1,2,1,3,1,2,1,1,95,2,2,1,1120.970971
1,2,1,4,2,1,0,0,0,1,1,1,3624.5625
1,2,1,5,2,1,1,1,42,1,99,99,99000
1,2,1,6,1,1,1,0,71,2,99,99,99000
1,2,1,7,2,2,0,0,46,1,2,0,2164.781695
1,2,1,8,2,2,1,1,109,2,2,1,1258.389078
1,2,1,9,1,1,0,0,119,2,2,1,1884.542399
1,2,1,10,1,2,0,1,56,1,1,1,2510.001619
1,2,1,11,1,2,1,1,73,2,2,1,2350.059712
1,2,1,12,2,2,1,0,79,2,99,99,99000
1,2,1,13,1,1,0,0,15,1,1,1,4721.286763
1,2,1,14,2,1,0,0,121,2,99,99,99000
1,2,1,15,1,2,0,0,76,2,2,1,1277.873584
1,2,1,16,1,2,1,1,53,1,1,1,2239.178044
1,2,1,17,1,1,0,1,48,1,1,1,3866.771824
1,2,1,18,2,1,1,0,98,2,2,1,1020.191431
1,2,1,19,2,2,0,1,7,1,1,1,3864.115006
1,2,1,20,1,2,1,0,41,1,1,1,1026.015142
1,2,1,21,2,1,0,0,49,1,1,1,2237.953991
1,2,1,22,2,1,1,1,19,1,1,1,2048.564591
1,2,1,23,1,1,1,0,36,1,1,1,2371.380619
1,2,1,24,1,2,0,1,86,2,2,1,760.973921
1,2,1,25,1,2,1,1,45,1,1,1,1687.057831
1,2,1,26,2,2,1,0,117,2,99,99,99000
1,2,1,27,2,1,0,1,37,1,1,1,3372.794147
1,2,1,28,2,1,1,1,112,2,2,1,1154.331395
1,2,1,29,1,1,1,0,105,2,2,1,2648.780996
1,2,1,30,2,2,0,0,124,2,99,99,99000
1,2,1,31,2,1,0,1,100,2,2,1,2615.743738
1,2,1,32,2,2,0,1,64,1,99,99,99000
1,2,1,33,1,1,0,0,35,1,99,99,99000
1,2,1,34,1,1,1,1,120,2,2,1,4460.945227
1,2,1,35,2,2,0,0,111,2,99,99,99000
1,2,1,36,2,1,0,1,75,2,2,1,1027.580635
1,2,1,37,1,1,1,0,21,1,1,1,911.2705565
1,2,1,38,2,2,0,0,20,1,1,1,4359.737043
1,2,1,39,2,2,1,1,58,1,1,1,4630.581778
1,2,1,40,2,1,0,1,90,2,2,1,1450.804948
1,2,1,41,1,2,0,0,66,2,2,1,2661.066093
1,2,1,42,1,2,1,1,54,1,1,1,3103.277661
1,2,1,43,2,2,1,0,88,2,2,1,4199.992306
1,2,1,44,2,1,0,1,38,1,1,1,836.7809127
1,2,1,45,1,1,1,0,3,1,99,99,99000
1,2,1,46,1,1,1,1,82,2,99,99,99000
1,2,1,47,1,2,0,1,32,1,1,1,1104.207082
1,2,1,48,2,2,1,0,9,1,1,1,1312.563219
1,2,2,1,1,1,99,99,64,2,2,1,1141.167852
1,2,2,2,1,2,0,1,110,2,2,1,972.2792623
1,2,2,3,1,2,1,1,92,2,2,1,825.521417
1,2,2,4,2,1,0,0,0,1,1,1,789.0893174
1,2,2,5,2,1,1,1,22,1,1,1,858.0098073
1,2,2,6,1,1,1,0,71,2,2,1,660.5169047
1,2,2,7,2,2,0,0,52,1,99,99,99000
1,2,2,8,2,2,1,1,120,2,2,1,2027.425465
1,2,2,9,1,1,0,0,123,2,2,1,1014.732563
1,2,2,10,1,2,0,1,12,1,1,1,746.627361
1,2,2,11,1,2,1,1,78,2,2,1,681.4793795
1,2,2,12,2,2,1,0,86,2,2,1,3658.532707
1,2,2,13,1,1,0,0,41,1,99,99,99000
1,2,2,14,2,1,0,0,84,2,2,1,1057.476007
1,2,2,15,1,2,0,0,99,2,2,1,563.8288697
1,2,2,16,1,2,1,1,35,1,1,1,721.6150579
1,2,2,17,1,1,0,1,63,1,1,1,769.2364412
1,2,2,18,2,1,1,0,91,2,2,1,4167.199665
1,2,2,19,2,2,0,1,59,1,99,99,99000
1,2,2,20,1,2,1,0,36,1,1,1,801.2929829
1,2,2,21,2,1,0,0,19,1,1,1,1253.920866
1,2,2,22,2,1,1,1,46,1,2,0,2280.431657
1,2,2,23,1,1,1,0,44,1,1,1,4569.810317
1,2,2,24,1,2,0,1,113,2,2,1,951.7531246
1,2,2,25,1,2,1,1,48,1,1,1,910.056442
1,2,2,26,2,2,1,0,83,2,2,1,3526.166305
1,2,2,27,2,1,0,1,9,1,1,1,838.2495842
1,2,2,28,2,1,1,1,70,2,2,1,2920.946926
1,2,2,29,1,1,1,0,124,2,2,1,3505.325338
1,2,2,30,2,2,0,0,112,2,99,99,99000
1,2,2,31,2,1,0,1,104,2,2,1,1821.18369
1,2,2,32,2,2,0,1,51,1,1,1,1280.975716
1,2,2,33,1,1,0,0,27,1,1,1,3385.988147
1,2,2,34,1,1,1,1,105,2,2,1,2703.355567
1,2,2,35,2,2,0,0,101,2,2,1,4040.220637
1,2,2,36,2,1,0,1,98,2,2,1,4123.334119
1,2,2,37,1,1,1,0,37,1,1,1,2179.096195
1,2,2,38,2,2,0,0,1,1,1,1,4809.400332
1,2,2,39,2,2,1,1,13,1,99,99,99000
1,2,2,40,2,1,0,1,80,2,2,1,1425.908061
1,2,2,41,1,2,0,0,109,2,2,1,1149.871519
1,2,2,42,1,2,1,1,39,1,1,1,659.6711599
1,2,2,43,2,2,1,0,67,2,2,1,1454.082449
1,2,2,44,2,1,0,1,32,1,1,1,1472.785651
1,2,2,45,1,1,1,0,11,1,1,1,1218.515651
1,2,2,46,1,1,1,1,127,2,2,1,997.9122481
1,2,2,47,1,2,0,1,29,1,1,1,954.4872073
1,2,2,48,2,2,1,0,3,1,99,99,99000
1,2,3,1,1,1,99,99,64,2,2,1,1440.945515
1,2,3,2,1,2,0,1,106,2,2,1,595.5904583
1,2,3,3,1,2,1,1,97,2,2,1,632.3928512
1,2,3,4,2,1,0,0,0,1,1,1,3291.997968
