SID,CB,block,trial,eye,loc,locrep,eyerep,tarimg,urban,resp,corr,RT
1,1,1,1,2,2,99,99,2,1,1,1,1057.908535
1,1,1,2,1,4,0,0,6,2,2,1,858.1020492
1,1,1,3,2,3,0,0,1,1,1,1,660.7013529
1,1,1,4,2,3,1,1,9,2,2,1,790.8992951
1,1,1,5,2,1,0,1,8,2,2,1,667.8568441
1,1,1,6,1,1,1,0,7,2,2,1,965.3725398
1,1,1,7,1,2,0,1,10,2,2,1,610.7068511
1,1,1,8,1,2,1,1,3,1,1,1,622.948996
1,1,1,9,2,4,0,0,6,2,1,0,578.7618586
1,1,1,10,2,3,0,1,4,1,1,1,831.9711536
1,1,1,11,2,4,0,1,5,1,1,1,658.6251415
1,1,1,12,1,4,1,0,4,1,1,1,620.815397
1,1,1,13,1,4,1,1,8,2,2,1,464.617044
1,1,1,14,2,1,0,0,10,2,2,1,610.6433722
1,1,1,15,2,1,1,1,3,1,1,1,631.1528517
1,1,1,16,2,3,0,1,7,2,1,0,474.706033
1,1,1,17,1,2,0,0,9,2,2,1,1011.960336
1,1,1,18,2,2,1,0,2,1,1,1,696.1110791
1,1,1,19,1,3,0,0,1,1,1,1,552.8393537
1,1,1,20,1,3,1,1,7,2,1,0,791.1461578
1,1,1,21,1,3,1,1,5,1,1,1,651.4690092
1,1,1,22,2,1,0,0,3,1,1,1,741.8685197
1,1,1,23,1,1,1,0,2,1,1,1,868.7694024
1,1,1,24,1,1,1,1,10,2,2,1,598.7029129
1,1,1,25,1,2,0,1,5,1,1,1,842.5227699
1,1,1,26,2,2,1,0,6,2,2,1,837.5508913
1,1,1,27,2,4,0,1,1,1,1,1,568.3429711
1,1,1,28,2,4,1,1,4,1,1,1,1254.297094
1,1,1,29,1,3,0,0,1,1,1,1,616.384693
1,1,1,30,1,3,1,1,3,1,1,1,620.0562143
1,1,1,31,2,3,1,0,9,2,2,1,743.6359923
1,1,1,32,1,2,0,0,2,1,1,1,678.6017828
1,1,1,33,1,1,0,1,8,2,2,1,639.708407
1,1,1,34,2,1,1,0,10,2,2,1,578.7855831
1,1,1,35,1,1,1,0,4,1,1,1,768.2683994
1,1,1,36,1,4,0,1,5,1,1,1,670.0731581
1,1,1,37,1,4,1,1,1,1,1,1,575.8373374
1,1,1,38,2,2,0,0,9,2,2,1,636.9198204
1,1,1,39,2,4,0,1,7,2,2,1,800.0306494
1,1,1,40,2,4,1,1,6,2,1,0,708.3413617
1,1,1,41,1,4,1,0,8,2,2,1,884.4099164
1,1,1,42,2,2,0,0,5,1,1,1,1045.029677
1,1,1,43,2,2,1,1,10,2,2,1,735.9720282
