SID,CB,block,trial,eye,loc,locrep,eyerep,tarimg,urban,resp,corr,RT
1,1,1,1,2,4,99,99,3,1,1,1,1094.723775
1,1,1,2,2,3,0,1,5,1,1,1,877.78534
1,1,1,3,1,3,1,0,1,1,1,1,638.8976071
1,1,1,4,2,3,1,0,10,2,2,1,625.9347526
1,1,1,5,2,1,0,1,8,2,2,1,677.6540866
1,1,1,6,2,1,1,1,9,2,2,1,518.2603039
1,1,1,7,1,1,1,0,2,1,1,1,1006.179903
1,1,1,8,1,2,0,1,7,2,2,1,978.4716507
1,1,1,9,1,2,1,1,4,1,1,1,919.6881969
1,1,1,10,2,4,0,0,6,2,1,0,895.6723046
1,1,1,11,1,2,0,0,10,2,2,1,839.2606564
1,1,1,12,1,2,1,1,1,1,1,1,842.1233017
1,1,1,13,2,4,0,0,3,1,1,1,749.4414337
1,1,1,14,1,4,1,0,9,2,2,1,835.505778
1,1,1,15,2,1,0,0,4,1,1,1,614.2789861
1,1,1,16,1,3,0,0,5,1,1,1,986.3266936
1,1,1,17,2,3,1,0,2,1,1,1,1039.968671
1,1,1,18,1,1,0,0,3,1,1,1,1714.356796
1,1,1,19,2,1,1,0,5,1,1,1,466.0539767
1,1,1,20,1,1,1,0,6,2,2,1,955.5698475
1,1,1,21,1,4,0,1,7,2,2,1,1057.813637
1,1,1,22,1,4,1,1,8,2,2,1,1284.206592
1,1,1,23,2,2,0,0,6,2,2,1,1141.09164
1,1,1,24,2,2,1,1,1,1,1,1,804.0660527
1,1,1,25,2,3,0,1,7,2,2,1,848.4532451
1,1,1,26,1,2,0,0,9,2,2,1,1202.893872
1,1,1,27,1,3,0,1,10,2,2,1,806.8248229
1,1,1,28,2,3,1,0,8,2,2,1,779.3195117
1,1,1,29,2,4,0,1,4,1,1,1,696.6089718
1,1,1,30,2,4,1,1,2,1,1,1,681.946612
1,1,1,31,1,2,0,0,9,2,1,0,1210.685114
1,1,1,32,1,2,1,1,5,1,1,1,950.5203832
1,1,1,33,2,1,0,0,4,1,1,1,1053.191855
1,1,1,34,2,1,1,1,8,2,2,1,967.0483209
1,1,1,35,1,1,1,0,10,2,2,1,1796.721728
1,1,1,36,1,3,0,1,1,1,1,1,817.6088752
1,1,1,37,2,4,0,0,7,2,2,1,949.5992968
1,1,1,38,2,3,0,1,2,1,1,1,1019.509205
1,1,1,39,1,4,0,0,6,2,2,1,1167.051655
1,1,1,40,1,4,1,1,7,2,2,1,813.0537784
1,1,1,41,2,4,1,0,8,2,2,1,769.3818463
1,1,1,42,1,2,0,0,3,1,1,1,958.8848604
1,1,1,43,2,2,1,0,6,2,2,1,1021.135613
1,1,1,44,1,2,1,0,1,1,2,0,704.3841854
1,1,1,45,2,3,0,0,2,1,1,1,672.6940703
1,1,1,46,1,1,0,0,9,2,2,1,1114.273376
1,1,1,47,2,3,0,0,5,1,1,1,1202.696381
1,1,1,48,1,1,0,0,4,1,1,1,798.4404694
1,1,2,1,2,4,99,99,3,1,1,1,639.4028747
1,1,2,2,2,3,0,1,3,1,1,1,593.8050933
1,1,2,3,1,3,1,0,5,1,1,1,887.1282917
1,1,2,4,2,3,1,0,10,2,1,0,807.7766877
1,1,2,5,2,1,0,1,7,2,2,1,812.0833188
1,1,2,6,2,1,1,1,6,2,2,1,1120.407753
1,1,2,7,1,1,1,0,1,1,1,1,1007.61331
1,1,2,8,1,2,0,1,10,2,2,1,1276.278131
1,1,2,9,1,2,1,1,2,1,1,1,1069.908625
1,1,2,10,2,4,0,0,8,2,2,1,951.1372196
1,1,2,11,1,2,0,0,9,2,2,1,1133.715254
1,1,2,12,1,2,1,1,4,1,1,1,1260.321184
1,1,2,13,2,4,0,0,5,1,1,1,1174.652781
1,1,2,14,1,4,1,0,7,2,2,1,1732.634253
1,1,2,15,2,1,0,0,3,1,1,1,835.2977084
1,1,2,16,1,3,0,0,2,1,1,1,902.0545064
1,1,2,17,2,3,1,0,1,1,1,1,622.759521
1,1,2,18,1,1,0,0,5,1,1,1,930.3478552
1,1,2,19,2,1,1,0,3,1,1,1,753.9093271
1,1,2,20,1,1,1,0,6,2,2,1,799.715179
1,1,2,21,1,4,0,1,8,2,2,1,724.4778452
1,1,2,22,1,4,1,1,10,2,2,1,499.8186994
1,1,2,23,2,2,0,0,6,2,2,1,1060.155626
1,1,2,24,2,2,1,1,2,1,1,1,670.0994475
1,1,2,25,2,3,0,1,7,2,2,1,695.7269991
1,1,2,26,1,2,0,0,8,2,2,1,696.4948382
1,1,2,27,1,3,0,1,10,2,2,1,609.4728587
1,1,2,28,2,3,1,0,9,2,2,1,909.6312681
1,1,2,29,2,4,0,1,1,1,1,1,622.3077942
1,1,2,30,2,4,1,1,4,1,2,0,569.4031985
1,1,2,31,1,2,0,0,6,2,2,1,958.9015311
1,1,2,32,1,2,1,1,1,1,2,0,573.0013018
1,1,2,33,2,1,0,0,5,1,1,1,753.5669254
1,1,2,34,2,1,1,1,10,2,2,1,512.1086137
1,1,2,35,1,1,1,0,7,2,2,1,696.3989791
1,1,2,36,1,3,0,1,3,1,1,1,945.4789348
1,1,2,37,2,4,0,0,8,2,2,1,855.9434433
1,1,2,38,2,3,0,1,2,1,1,1,1354.376507
1,1,2,39,1,4,0,0,9,2,2,1,872.7551131
1,1,2,40,1,4,1,1,7,2,2,1,457.3288234
1,1,2,41,2,4,1,0,10,2,2,1,603.5593757
1,1,2,42,1,2,0,0,4,1,1,1,1263.854847
1,1,2,43,2,2,1,0,6,2,2,1,1306.167752
1,1,2,44,1,2,1,0,2,1,1,1,954.4275459
1,1,2,45,2,3,0,0,1,1,1,1,1008.607172
1,1,2,46,1,1,0,0,8,2,2,1,788.8923334
1,1,2,47,2,3,0,0,5,1,1,1,905.8808777
1,1,2,48,1,1,0,0,3,1,1,1,818.3898591
1,1,3,1,2,4,99,99,3,1,1,1,642.6329287
1,1,3,2,2,3,0,1,1,1,1,1,557.5217297
1,1,3,3,1,3,1,0,2,1,1,1,748.0699029
1,1,3,4,2,3,1,0,10,2,2,1,818.3677383
1,1,3,5,2,1,0,1,10,2,2,1,845.8166234
1,1,3,6,2,1,1,1,7,2,2,1,744.464105
1,1,3,7,1,1,1,0,4,1,1,1,751.7141728
1,1,3,8,1,2,0,1,8,2,2,1,1197.555226
1,1,3,9,1,2,1,1,5,1,1,1,986.943529
1,1,3,10,2,4,0,0,9,2,2,1,647.8987979
1,1,3,11,1,2,0,0,7,2,2,1,658.3693027
1,1,3,12,1,2,1,1,1,1,1,1,772.9068529
1,1,3,13,2,4,0,0,5,1,2,0,506.1794221
1,1,3,14,1,4,1,0,10,2,2,1,665.4863209
1,1,3,15,2,1,0,0,2,1,1,1,587.3873048
1,1,3,16,1,3,0,0,4,1,1,1,1295.286237
1,1,3,17,2,3,1,0,3,1,1,1,920.2514915
1,1,3,18,1,1,0,0,4,1,1,1,680.2346027
1,1,3,19,2,1,1,0,2,1,1,1,745.3733282
1,1,3,20,1,1,1,0,8,2,2,1,656.7028183
1,1,3,21,1,4,0,1,6,2,2,1,642.1440123
1,1,3,22,1,4,1,1,9,2,2,1,548.69687
